"","ACTIVITY_TREATMENT_UNIT_ID","OPENING_ID","AREA","SPECIES","NUMBER_PLANTED","SEEDLOT_NUMBER","PLANTING_DATE","REGION","DISTRICT","YEAR","BGC","Zone","Subzone"
"4155",2305145,89194,36.8,"BL",9080,43004,2006-05-24,"RSK","DSS",2006,"ICHmc","ICH","mc"
"4156",1984487,1055046,7.5,"BA",1080,43070,2007-07-09,"RSK","DKM",2007,"CWHws","CWH","ws"
"4157",1984487,1055046,7.5,"BA",1650,43070,2007-07-09,"RSK","DKM",2007,"CWHws","CWH","ws"
"4158",2068341,1090049,25.7,"BL",6840,47368,2007-06-12,"ROM","DVA",2007,"ESSFmv","ESSF","mv"
"4159",412692,47686,7.5,"BA",2295,43077,1999-05-01,"RSK","DKM",1999,"CWHvm","CWH","vm"
"4160",768742,28788,21.4,"BL",24900,43101,2000-06-22,"RSK","DKM",2000,"ICHvc","ICH","vc"
"4161",770011,49655,38.2,"BL",25245,39608,1999-06-01,"RSK","DND",1999,"ESSFmc","ESSF","mc"
"4162",770011,49655,38.2,"BL",1350,47450,1999-06-01,"RSK","DND",1999,"ESSFmc","ESSF","mc"
"4163",1785423,74959,38.8,"BL",5500,47450,2005-06-10,"RSK","DND",2005,"SBSmc","SBS","mc"
"4164",807454,90498,2.4,"BA",285,40450,2001-04-01,"RSK","DKM",2001,"CWHvh","CWH","vh"
"4165",1681899,103128,4.8,"BA",4545,43077,2003-05-26,"RSK","DKM",2003,"CWHws","CWH","ws"
"4166",2037830,1153410,31.2,"BA",8860,45358,2007-04-22,"RSK","DKM",2007,"CWHvh","CWH","vh"
"4167",2740902,1260531,16.6,"BL",2470,39582,2010-08-18,"RSK","DSS",2010,"ICHmc","ICH","mc"
"4168",2474873,1239292,98.5,"BL",16030,47714,2010-06-22,"RSK","DND",2010,"SBSmc","SBS","mc"
"4169",2475132,1329350,10.9,"BL",120,47715,2009-07-15,"RSK","DND",2009,"SBSmc","SBS","mc"
"4170",412715,48567,2,"BA",270,43077,1998-05-01,"RSK","DKM",1998,"CWHvm","CWH","vm"
"4171",499220,60051,37.5,"BL",6040,43010,1998-06-01,"RSK","DND",1998,"ESSFmc","ESSF","mc"
"4172",1632056,87728,27,"BL",15918,43010,2004-05-01,"RSK","DND",2004,"ESSFmc","ESSF","mc"
"4173",3335781,1604900,3.5,"BL",1200,47716,2015-05-15,"RSK","DSS",2015,"SBSmc","SBS","mc"
"4174",334078,2406,16,"BL",11445,NA,1999-06-28,"RSK","DKM",1999,"ICHmc","ICH","mc"
"4175",836837,54141,2.8,"BA",810,40449,2001-05-01,"RSK","DKM",2001,"CWHvm","CWH","vm"
"4176",768809,44328,7.3,"BL",8280,40023,2000-06-19,"RSK","DKM",2000,"ICHvc","ICH","vc"
"4177",768809,44328,7.3,"BL",390,43007,2000-06-19,"RSK","DKM",2000,"ICHvc","ICH","vc"
"4178",3380413,1266310,3.6,"BA",1065,41436,2016-09-22,"RSK","DKM",2016,"CWHws","CWH","ws"
"4179",412482,40496,1.7,"BA",360,35026,1994-05-01,"RSK","DKM",1994,"CWHws","CWH","ws"
"4180",412482,40496,1.7,"BA",300,35028,1994-05-01,"RSK","DKM",1994,"CWHws","CWH","ws"
"4181",406919,28724,66.4,"BL",35050,NA,1993-05-01,"RSK","DKM",1993,"ICHvc","ICH","vc"
"4182",418481,52147,39.3,"BA",20600,47476,1999-06-01,"RSK","DKM",1999,"CWHws","CWH","ws"
"4183",809801,74700,42.7,"BL",6015,47450,2000-05-01,"RSK","DND",2000,"SBSmc","SBS","mc"
"4184",888945,87819,15,"BA",2820,40015,2001-06-05,"RSK","DSS",2001,"CWHws","CWH","ws"
"4185",870974,87764,17.5,"BA",5545,43078,2001-05-01,"RSK","DKM",2001,"CWHvm","CWH","vm"
"4186",870974,87764,17.5,"BA",1070,47460,2001-05-01,"RSK","DKM",2001,"CWHvm","CWH","vm"
"4187",870974,87764,17.5,"BA",1000,47461,2001-05-01,"RSK","DKM",2001,"CWHvm","CWH","vm"
"4188",870974,87764,17.5,"BA",4058,43077,2001-05-01,"RSK","DKM",2001,"CWHvm","CWH","vm"
"4189",870974,87764,17.5,"BA",2377,43076,2001-05-01,"RSK","DKM",2001,"CWHvm","CWH","vm"
